 36 months, 60 months,1 year,10+ years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,< 1 year,MORTGAGE,Not Verified,OTHER_Home_Ownership,OTHER_Purposes,OWN,RENT,Source Verified,Verified,annual_inc_new,car,credit_card,debt_consolidation,educational,funded_amnt_new,home_improvement,house,installment_new,int_rate,loan_amnt_new,major_purchase,medical,moving,renewable_energy,small_business,vacation,wedding
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,6216758.333333332,0,0,0,0,1065729.9999999998,0,0,36564.308191666656,14.2,1065729.9999999998,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7637731.666666665,0,0,1,0,1212267.8749999998,0,0,40508.3973,12.4,1212267.8749999998,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2664324.9999999995,0,0,1,0,932513.7499999999,0,0,32918.62348333333,16.2,932513.7499999999,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3108379.166666666,0,0,1,0,1338823.3124999998,0,0,45933.85110833333,14.2,1338823.3124999998,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4662568.749999999,0,0,0,0,843702.9166666665,0,0,28302.236366666664,12.6,843702.9166666665,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6039136.666666666,0,0,1,0,639437.9999999999,0,0,20008.192641666665,7.9,639437.9999999999,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4706974.166666666,0,0,0,0,2309081.6666666665,1,0,57101.81339999999,16.7,2309081.6666666665,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6181233.999999999,0,1,0,0,621675.8333333333,0,0,13738.147808333331,11.7,621675.8333333333,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6216758.333333332,0,1,0,0,888108.3333333333,0,0,29791.59404166666,12.6,888108.3333333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4440541.666666666,0,0,0,0,1385448.9999999998,0,0,31304.04253333333,12.6,1385448.9999999998,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2220270.833333333,0,0,1,0,355243.33333333326,0,0,11916.637616666665,12.6,355243.33333333326,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3463622.4999999995,0,1,0,0,888108.3333333333,0,0,29677.028066666666,12.4,888108.3333333333,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,7104866.666666666,0,0,0,0,1065729.9999999998,0,0,33840.47993333333,8.9,1065729.9999999998,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3108379.166666666,0,0,0,0,1420973.333333333,0,0,32689.491533333327,13.4,1420973.333333333,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2301976.8,0,0,1,0,1054628.6458333333,0,0,23829.722799999996,12.6,1054628.6458333333,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4049773.9999999995,0,0,1,0,1243351.6666666665,0,0,38905.361758333325,7.9,1243351.6666666665,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4440541.666666666,0,1,0,0,710486.6666666665,0,0,25081.067441666666,16.2,710486.6666666665,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6216758.333333332,0,0,0,0,2664324.9999999995,0,0,59833.63463333333,12.4,2664324.9999999995,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3552433.333333333,0,0,0,0,1598594.9999999998,1,0,39532.36624166666,16.7,1598594.9999999998,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5239839.166666666,0,0,1,0,1776216.6666666665,0,0,47356.60065833333,20.3,1776216.6666666665,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5328649.999999999,0,1,0,0,799297.4999999999,0,0,21136.97833333333,19.9,799297.4999999999,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5461866.249999999,0,0,1,0,2220270.833333333,0,0,57156.87611666666,18.6,2220270.833333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6946428.139999999,0,0,1,0,1776216.6666666665,0,0,42508.417266666656,15.2,1776216.6666666665,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5506271.666666666,0,0,1,0,1598594.9999999998,0,0,39962.210674999995,17.2,1598594.9999999998,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2664324.9999999995,0,0,1,0,444054.1666666666,0,0,14838.514033333333,12.4,444054.1666666666,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4884595.833333333,0,0,1,0,1065729.9999999998,0,0,34343.149249999995,9.91,1065729.9999999998,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2841946.666666666,0,1,0,0,888108.3333333333,0,0,29375.07123333333,11.7,888108.3333333333,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10337580.999999998,1,0,0,0,2131459.9999999995,0,0,67680.95986666666,8.9,2131459.9999999995,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5079979.666666666,0,0,1,0,1065729.9999999998,0,0,35250.795966666665,11.7,1065729.9999999998,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3108379.166666666,0,0,1,0,888108.3333333333,0,0,29791.59404166666,12.6,888108.3333333333,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3108379.166666666,0,0,1,0,865905.6249999999,0,0,26939.878183333327,7.51,865905.6249999999,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4707329.409999999,0,0,0,0,266432.49999999994,0,0,6916.587699999998,19.0,266432.49999999994,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5328649.999999999,0,1,0,0,2220270.833333333,0,0,58109.81635833332,19.4,2220270.833333333,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3140351.0666666664,0,0,1,0,788196.1458333333,0,0,26440.7613,12.6,788196.1458333333,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2841946.666666666,0,0,1,0,1065729.9999999998,0,0,33840.47993333333,8.9,1065729.9999999998,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2664324.9999999995,0,0,1,0,1332162.4999999998,0,0,30100.655741666662,12.6,1332162.4999999998,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3197189.9999999995,0,0,1,0,714927.2083333333,0,0,23982.477433333333,12.6,714927.2083333333,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2671785.1099999994,0,0,1,0,532864.9999999999,0,0,10779.858949999998,7.9,532864.9999999999,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1509784.1666666665,0,0,0,0,133216.24999999997,0,0,4859.728799999999,18.6,133216.24999999997,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6660812.499999999,0,0,1,0,1503123.3541666665,0,0,35484.36845833333,14.6,1776216.6666666665,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1634829.8199999998,0,0,0,0,88810.83333333331,0,0,3063.9737499999997,14.6,88810.83333333331,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4440541.666666666,0,0,1,0,754892.0833333333,0,0,25899.903324999996,14.2,754892.0833333333,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6660812.499999999,0,0,1,0,1836163.9791666665,0,0,42241.09665833333,13.4,2968502.104166666,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3552433.333333333,0,0,1,0,1598594.9999999998,0,0,35326.28517499999,11.7,1598594.9999999998,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5328649.999999999,0,0,1,0,1776216.6666666665,0,0,43924.95005833333,16.7,1776216.6666666665,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4606706.735833333,0,0,1,0,1278875.9999999998,0,0,46395.66744166666,18.2,1278875.9999999998,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3818865.8333333326,0,0,1,0,373005.49999999994,0,0,9325.137499999999,17.2,373005.49999999994,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7638086.909999999,0,0,0,0,266432.49999999994,0,0,8678.594633333332,10.6,266432.49999999994,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9769191.666666666,0,0,0,0,1332162.4999999998,0,0,47026.224358333326,16.2,1332162.4999999998,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6039136.666666666,0,0,1,0,888108.3333333333,0,0,31783.62103333333,17.2,888108.3333333333,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4529352.499999999,0,0,1,0,1420973.333333333,0,0,44463.14370833332,7.9,1420973.333333333,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4262919.999999999,0,0,1,0,195383.8333333333,0,0,6799.357399999999,15.2,195383.8333333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9325137.499999998,0,1,0,0,2220270.833333333,0,0,58109.81635833332,19.4,2220270.833333333,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4547469.909999999,0,0,1,0,710486.6666666665,0,0,14714.178866666665,8.9,710486.6666666665,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7548920.833333332,0,0,1,0,2064851.8749999998,0,0,55052.05936666666,20.3,3108379.166666666,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,6660812.499999999,0,1,0,0,1065729.9999999998,0,0,25158.33286666666,14.6,1065729.9999999998,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3286000.833333333,0,0,0,0,1887230.208333333,0,0,63062.79653333333,12.4,1887230.208333333,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5328649.999999999,0,0,1,0,1332162.4999999998,0,0,46356.59067499999,15.2,1332162.4999999998,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2664324.9999999995,0,0,0,0,355243.33333333326,1,0,11916.637616666665,12.6,355243.33333333326,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3996487.4999999995,0,0,0,0,355243.33333333326,0,1,9394.40995,19.9,355243.33333333326,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3357049.4999999995,0,0,0,0,150978.41666666666,1,0,4724.736333333333,7.9,150978.41666666666,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4831309.333333333,0,0,1,0,1065729.9999999998,0,0,36762.356349999995,14.6,1065729.9999999998,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3774460.416666666,0,0,1,0,710486.6666666665,0,0,18942.46264166666,20.3,710486.6666666665,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2486703.333333333,0,0,1,0,1154540.8333333333,0,0,40756.179525,16.2,1154540.8333333333,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6110984.630833332,0,0,1,0,2131459.9999999995,0,0,53639.96711666666,17.5,2131459.9999999995,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6660812.499999999,1,0,0,0,994681.3333333331,0,0,33238.34248333333,12.4,994681.3333333331,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2486703.333333333,0,1,0,0,1065729.9999999998,0,0,36564.308191666656,14.2,1065729.9999999998,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10479678.333333332,0,0,0,0,2486703.333333333,1,0,77809.83540833333,7.9,2486703.333333333,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5772704.166666666,0,0,0,0,266432.49999999994,0,0,8337.561033333332,7.9,266432.49999999994,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2841946.666666666,0,0,1,0,761552.8958333333,0,0,27372.38694166666,17.5,761552.8958333333,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,7548565.589999999,0,0,1,0,1654101.770833333,0,0,37146.907258333325,12.4,2486703.333333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4351730.833333333,0,1,0,0,1420973.333333333,0,0,36277.449199999995,18.2,1420973.333333333,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7104866.666666666,0,1,0,0,976919.1666666665,0,0,30568.688833333326,7.9,976919.1666666665,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7548920.833333332,0,0,0,0,444054.1666666666,0,0,15676.000191666664,16.2,444054.1666666666,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3197189.9999999995,0,0,1,0,888108.3333333333,0,0,29791.59404166666,12.6,888108.3333333333,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5772704.166666666,0,0,0,0,266432.49999999994,0,0,9405.95535833333,16.2,266432.49999999994,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2644161.3883999996,0,0,0,0,683843.4166666665,0,0,24303.08454166666,16.7,683843.4166666665,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7548920.833333332,0,1,0,0,2175865.4166666665,0,0,58730.604083333325,20.8,2175865.4166666665,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14209733.333333332,0,0,1,0,1971600.4999999998,0,0,72690.778975,19.4,1971600.4999999998,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2486703.333333333,0,1,0,0,1154540.8333333333,0,0,36126.47078333332,7.9,1154540.8333333333,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5328649.999999999,0,0,0,0,319718.99999999994,0,0,10725.684341666665,12.6,319718.99999999994,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3552433.333333333,0,0,0,0,1099034.0624999998,0,0,31065.141391666664,23.1,1099034.0624999998,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2930757.4999999995,0,0,1,0,630556.9166666666,0,0,21750.661191666662,14.6,630556.9166666666,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,7548920.833333332,0,1,0,0,1989362.6666666663,0,0,55784.748741666655,22.7,1989362.6666666663,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3641244.166666666,0,0,1,0,1976041.0416666663,0,0,66286.62978333332,12.6,1976041.0416666663,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5062217.499999999,0,0,1,0,679402.8749999999,0,0,22472.69326666666,11.7,679402.8749999999,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4452264.696666666,0,0,0,0,1836163.9791666665,0,0,43943.60033333333,15.2,1836163.9791666665,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4245157.833333333,0,0,1,0,1820622.083333333,0,0,41137.17799999999,12.6,1820622.083333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5772704.166666666,0,0,1,0,2575514.1666666665,0,0,57839.83142499999,12.4,2575514.1666666665,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7815353.333333332,0,0,1,0,1065729.9999999998,0,0,37447.08787499999,15.9,1065729.9999999998,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2664324.9999999995,0,0,1,0,888108.3333333333,0,0,30134.403858333328,13.4,888108.3333333333,0,0,0,0,0,0,0
